M,N,p,k,mu,f,speed,demand,facility,ti_c,model,ti_s,status,ObjValue,Gap
50,40,19,19,72,0.006,40,Goldberg_Test_50_40_demand.ins,Goldberg_Test_50_40_facility.ins,0,Goldberg-model_50_40_19.lp,14.8874,Optimal,12949.8,-1.40464e-16
50,40,20,20,72,0.006,40,Goldberg_Test_50_40_demand.ins,Goldberg_Test_50_40_facility.ins,0,Goldberg-model_50_40_20.lp,15.7812,Optimal,12647,0
50,50,5,5,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_5.lp,3.86141,Optimal,41469.2,0
50,50,6,6,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_6.lp,5.23216,Optimal,35006.5,0
50,50,7,7,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_7.lp,5.48849,Optimal,29578,-1.22996e-16
50,50,8,8,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_8.lp,5.24944,Optimal,25879.5,0
50,50,9,9,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_9.lp,5.5271,Optimal,23017.1,-3.16111e-16
50,50,10,10,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_10.lp,5.46719,Optimal,20841.7,0
50,50,11,11,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_11.lp,6.32258,Optimal,19006.8,-3.82809e-16
50,50,12,12,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_12.lp,7.40652,Optimal,17579.9,0
50,50,13,13,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_13.lp,7.56377,Optimal,16353.4,0
50,50,14,14,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_14.lp,9.30241,Optimal,15281.8,0
50,50,15,15,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_15.lp,9.91764,Optimal,14381.1,-1.26484e-16
